Company:,Scotts ID:,Legal Name:,# of Employees:,Address:,Sales:,Square Footage:,Telephone:,Year Established:,Head Office:,Geocoded By:,Fax:,Web Site:,Census Division:,Executives:,NAICS:,Business Types:,Products:,Exporter (Y/N):,Location Address:
Canadian Unitarian Council,34480294,Canadian Unitarian Council,12,400-215 Spadina Ave,Under $1 Million,900,416-489-4121,1961,,Address,416-489-9010,www.cuc.ca,"Toronto Metropolitan Municipality, ON","Ms. Vyda Ng-Dir
Mrs. Rawaa Shubbar-Office Admin
Mr. Keith Wilkinson-Pres","813990-Other Membership Organizations
813110-Religious Organizations",Services,"Association: non-profit, Religious Organizations",N,400-215 Spadina AveM5T2C7
Canadian Urban Transit Assoc,35940213,Canadian Urban Transit Association,20,1401-55 York St,$1-5 Million,,416-365-9800,1904,,Address,416-365-1295,www.cutaactu.ca,"Toronto Metropolitan Municipality, ON","Ms. Becky Benaissa-Dir-Fin/Admn
Mr. Ryan Chattergum-Mgr-Info Sys
Mr. Patrick Leclerc-Pres
Mr. Alex Maheu-Mktg/Commun Mgr",813910-Business Associations,Services,"Association: business, Association: transportation related",N,"1401-55 York StToronto,ONM5J1R7"
Canadian Wind Rider Inc.,115884091,Canadian Wind Rider Inc.,1,26 Elfindale Cres,Under $1 Million,,416-949-9463,2003,,Address,,www.canadianwindrider.com,"Toronto Metropolitan Municipality, ON","Mr. Grant Fitz-Owner/Oper
Mr. Greg Fitz-Chief-Sls/Mktg",414470-Amusement and Sporting Goods Merchant Wholesalers-Primary,Distributor,Recreation equipment,N,"26 Elfindale CresToronto,ONM2J1B5"
Canadian Women's Foundation,35802398,Canadian Women's Foundation,35,504-133 Richmond St W,$1-5 Million,,416-365-1444,1991,,Address,416-365-1745,www.canadianwomen.org,"Toronto Metropolitan Municipality, ON","Ms. Paulette Senior -Pres/CEO
Mr. Kristin Blakley-Co-Chair
Ms. Olga Sbystun-Sr Dir-Fin/Admv
Ms. Sarah Ruddle-Dir-Mktg/Commun
Ms. Jody Jhonson-Co-Chair
Ms. Shera Ruddle -Dir-Mktg/Dir-Commun","813210-Grant-Making and Giving Services
813410-Civic and Social Organizations",Services,"Association: women's, Charitable organizations",N,"504-133 Richmond St WToronto,ONM5H2L3"
Canadianweb Solutions,116707431,Canadianweb Solutions,,340 King St E,N/A,,,,,Address,,www.canadianweb.com,"Toronto Metropolitan Municipality, ON",,541514-Computer Systems Design and Related Services (Except Video Game Design and Development),"Professional, Scientific & Technical Services","Web applications, Design & integration, Web site development",N,"340 King St EFloor 2Toronto,ONM5A1K8"
Canaglobe Advertising,54126365,Canaglobe Advertising,2,1-927 Danforth Ave,Under $1 Million,,416-925-8858,1995,,Address,,www.canaglobe.ca,"Toronto Metropolitan Municipality, ON",Mr. Bahman Yazdanfar-Mktg Spec,541810-Advertising Agencies,"Professional, Scientific & Technical Services",Advertising agency,N,"1-927 Danforth AveToronto,ONM4J1L8"
Canaglobe Consulting,54126092,Canaglobe Consulting,2,1-927 Danforth Ave,Under $1 Million,,416-925-8858,2000,,Address,,www.canaglobe.ca,"Toronto Metropolitan Municipality, ON",Mr. Bahman Yazdanfar-Consultant,541611-Administrative Management and General Management Consulting Services,"Professional, Scientific & Technical Services",Business consultants,N,"1-927 Danforth AveToronto,ONM4J1L8"
Canaglobe Networks,54126183,Canaglobe Networks,1,1-927 Danforth Ave,N/A,,416-925-8858,2003,,Address,,www.canaglobe.ca,"Toronto Metropolitan Municipality, ON",Mr. Bahman Yazdanfar-IT Spec,541514-Computer Systems Design and Related Services (Except Video Game Design and Development),"Professional, Scientific & Technical Services","Computer consultants: IT industry, Web site design services",N,1-927 Danforth AveM4J1L8
Canaglobe Training,54126258,Canaglobe Training,2,1-927 Danforth Ave,Under $1 Million,,416-925-8858,2001,,Address,,www.canaglobe.ca,"Toronto Metropolitan Municipality, ON",Mr. Bahman Yazdanfar-Training Mgr,611430-Professional and Management Development Training,Educational Services,Professional development seminars,N,1-927 Danforth AveM4J1L8
Canary Group Inc.,18599392,Canary Group Inc.,5,336-200 Finch Ave W,$1-5 Million,"1,850",416-733-1166,1984,,Address,416-733-9937,,"Toronto Metropolitan Municipality, ON",Mr. Mo Gilanpour-Dir,"237210-Land Subdivision
531310-Real Estate Property Managers","Construction
Real Estate","Real estate property developer, Property management: commercial",N,336-200 Finch Ave WM2R3W4
Cancer Advocacy Coalition-Cda,86605981,Cancer Advocacy Coalition of Canada,16,1902-2 Bloor St W,N/A,,416-642-6472,2000,,Address,416-538-4874,www.canceradvocacy.ca,"Toronto Metropolitan Municipality, ON","Mr. Larry Broadfield-Vice Chm
Doctor. Dauna Crooks-Chm
Doctor. David Saltman-Vice Chm
Ms. Colleen Savage-Pres/CEO
Ms. Elizabeth Whamond-Sec-Treas",813210-Grant-Making and Giving Services,Services,Association: chronic diseases,N,"1902-2 Bloor St WToronto,ONM4W3R1"
CanCog Technologies Inc.,84162751,CanCog Technologies Inc.,8,204-120 Carlton St,Under $1 Million,"2,000",647-724-5094,2002,,Address,416-920-1876,www.cancog.com,"Toronto Metropolitan Municipality, ON","Mr. Joseph Araujo-Consultant
Doctor. Bill Milgram-Pres","541710-Research and Development in the Physical, Engineering and Life Sciences","Professional, Scientific & Technical Services","Research: contract, Research: medical",N,"204-120 Carlton StToronto,ONM5A4K2"
Cancom Security Inc.,115829072,Cancom Security Inc.,80,205-1183 Finch Ave W,$5-10 Million,,416-763-0000,2008,,Address,416-763-1200,www.cancomsecurity.com,"Toronto Metropolitan Municipality, ON",Mr. Ronald Wells-Pres/CEO,"561611-Investigation Services
611690-All Other Schools and Instruction
561621-Security Systems Services (except Locksmiths)
561612-Security Guard and Patrol Services","Administrative and Support, Waste Management and Remediation Services
Educational Services","Enforcement service: parking, Private investigators, Security system installation, Security guard service, Security system monitoring, Training courses: security guard, Investigation services",N,205-1183 Finch Ave WM3J2G2
CanDeal.ca,76810110,CanDeal.ca,31,400-152 King St E,$5-10 Million,,416-814-7800,2001,,Address,416-814-7840,www.candeal.com,"Toronto Metropolitan Municipality, ON",Ms. Debbie Milner-Office Mgr,523120-Securities Brokerage,Finance,"Investment brokers, Financial brokers",N,"400-152 King St EToronto,ONM5A1J3"
Canderel Commercial Services,19784843,Canderel Commercial Services Inc.,9,427-777 Bay St,Under $1 Million,,416-597-1221,,Canderel Management Services Inc.,Address,416-597-6982,www.canderel.com,"Toronto Metropolitan Municipality, ON",Mr. Claude Gagnon-Gen Mgr,531310-Real Estate Property Managers,Real Estate,Property management: commercial,N,"427-777 Bay StBox 108Toronto,ONM5G2C8"
Canderel Residential Inc.,19783952,Canderel Residential Inc.,30,400-1075 Bay St,$1-5 Million,,416-593-6366,1975,,Address,416-593-6122,www.canderel.com,"Toronto Metropolitan Municipality, ON","Mr. Riz Dhanji-VP-Sls/Mktg
Mr. Richard Diamond-Sr VP
Mr. Ben Rogowski-Exec VP","236220-Commercial and Institutional Building Construction
531310-Real Estate Property Managers
237210-Land Subdivision","Construction
Real Estate","Land developer, Construction management: comm, instl, Property management: commercial, Real estate property developer: residential",N,"400-1075 Bay StToronto,ONM5S2B1"
Candesco Corporation,54124525,Candesco Corporation,40,393 University Ave,$5-10 Million,,416-207-6000,2005,Kinectrics Inc.2-800 Kipling AveEtobicokeONM8Z5G5,Address,416-585-9559,www.candesco.com,"Toronto Metropolitan Municipality, ON","Mrs. Bibi Laceman-Hum Res Mgr
Ms. Katherine Moshonas-Cole-Gen Mgr","541690-Other Scientific and Technical Consulting Services
541620-Environmental Consulting Services
541330-Engineering Services","Professional, Scientific & Technical Services","Energy management consultants, Environmental management services, Engineering consultants: energy efficiency",N,"393 University Ave4thFloorToronto,ONM5G1E6"
Candy's Costume Shop,20127446,Candy's Costume Shop,2,685 Mount Pleasant Rd,Under $1 Million,,416-487-5794,1981,,Address,416-487-7555,www.candyscostumeshoponline.com,"Toronto Metropolitan Municipality, ON","Ms. Beverley Quinn-Co-Owner
Mr. Geoff Waszek-Co-Owner","453220-Gift, Novelty and Souvenir Stores
448199-All Other Clothing Stores
532220-Formal Wear and Costume Rental","Retail
Rental and Leasing Services","Rental: costumes, Costumes: retail, Novelty shop",YExport Countries:United States,"685 Mount Pleasant RdToronto,ONM4S2N2"
Canec International Ltd.,54128519,Canec International Ltd.,4,200-1920 Yonge St,Under $1 Million,,416-486-7171,1989,,Address,,www.canec.com,"Toronto Metropolitan Municipality, ON",Mr. Jocelyn Bertheau-Man Dir,541611-Administrative Management and General Management Consulting Services,"Professional, Scientific & Technical Services",Mergers & acquisitions consultants,N,200-1920 Yonge StM4S3E2
Cangeo Remediation Tech,76811910,Cangeo Remediation Technologies Inc.,4,107-245 Carlaw Ave,Under $1 Million,,416-771-4651,2000,,Address,416-466-5827,www.cangeotech.com,"Toronto Metropolitan Municipality, ON",Mr. Christopher Juneson-Owner,"541330-Engineering Services
562910-Remediation Services","Professional, Scientific & Technical Services
Administrative and Support, Waste Management and Remediation Services","Engineering consultants, Site remediation",N,"107-245 Carlaw AveToronto,ONM4M2S1"
Cannex Financial Exchanges,58849012,Cannex Financial Exchanges Ltd.,27,1001-1200 Bay St,$25-50 Million,,416-926-0882,1984,,Address,416-926-0706,www.cannex.com,"Toronto Metropolitan Municipality, ON","Mr. Lowell Aronoff-CEO
Mr. Steven Waters-VP-Info Sys","519130-Internet Publishing and Broadcasting and Web Search Portals
511190-Other Publishers
523930-Investment Advice
523120-Securities Brokerage
523130-Commodity Contracts Dealing","Finance
Information and Cultural Industries","Investment contract company, Investment dealers, Derivative financial products, Internet information services, Internet publishing: financial, Financial consultants: web",YExport Countries:United States,"1001-1200 Bay StToronto,ONM5R2A5"
Cannon Design Ltd.,61122166,Cannon Design Ltd.,55,1200-200 University Ave,$5-10 Million,,416-915-0121,1974,Cannon Design Inc.,Address,416-915-0122,www.cannondesign.com,"Toronto Metropolitan Municipality, ON","Mr. Jerry Chlebowski-Architect
Mr. Gary Miller-CEO
Mr. CHRISTOPHER WHITCOMB-Director of Media Relations","541330-Engineering Services
541410-Interior Design Services
541310-Architectural Services","Professional, Scientific & Technical Services","Interior design services, Engineering services, Architectural firm: institutional, Architectural firm: recreational",N,"1200-200 University AveToronto,ONM5H3C6"
Canoe Restaurant,109630987,Canoe Restaurant,,66 Wellington St W,N/A,,416-364-0054,1997,Oliver & Bonacini Restaurants303-2323 Yonge StTorontoONM4P2C9,Address,416-364-4273,www.oliverbonacini.com,"Toronto Metropolitan Municipality, ON",Mr. Paul Cawlishaw-Gen Mgr,722511-Full-Service Restaurants,Accommodation and Food Services,Restaurant: full-service,N,"66 Wellington St WFloor 54Toronto,ONM5K1H6"
Canroof Corporation Inc.,18571374,Canroof Corporation Inc.,76,560 Commissioners St,$75-100 Million,,416-461-8122,1983,IKO Industries Ltd.602-1 Yorkdale RdTorontoONM6A3A1,Address,416-461-2926,www.canroof.com,"Toronto Metropolitan Municipality, ON","Mr. Rob Davidson-Dir-Sls
Mr. Saul Koschitzky-Pres
Mr. Dennis Stacey-Plant Mgr
Mr. Martin Vaughan-VP","324122-Asphalt Shingle and Coating Material Manufacturing
327990-All Other Non-Metallic Mineral Product Manufacturing
326290-Other Rubber Product Manufacturing",Manufacturer,"Shingles, Roofing: asphalt, Roofing membranes, Insulation: fibreglass",YExport Countries:United States,"560 Commissioners StToronto,ONM4M1A7"
Cantor Access Inc.,84473299,Cantor Access Inc.,1,30 Eastmount Ave,N/A,,647-542-5098,1992,,Address,,www.cantoraccess.com,"Toronto Metropolitan Municipality, ON",Mr. Alan Cantor-Pres,"611690-All Other Schools and Instruction
511211-Software Publishers (Except Video Game Publishers)
541514-Computer Systems Design and Related Services (Except Video Game Design and Development)","Information and Cultural Industries
Professional, Scientific & Technical Services
Educational Services","Computer consultants, Computer systems design: adaptive technology, Computer software: automated speech recognition, Training courses",N,"30 Eastmount AveToronto,ONM4K1V1"
CanWise Financial,120128122,CanWise Financial,15,4 -70 Richmond St E,$1-5 Million,,416-504-3379,2014,,Address,,www.canwise.com,"Toronto Metropolitan Municipality, ON",Ms. Karla Reyes-Mktg Coord,522310-Mortgage and Non-mortgage Loan Brokers,Finance,Mortgage brokers,N,"4 -70 Richmond St EToronto,ONM5C1N8"
Capgemini Canada Inc.,93398181,Capgemini Canada Inc.,385,1100-200 University Ave,$50-75 Million,,416-365-4400,1992,,Address,416-365-4401,www.capgemini.com,"Toronto Metropolitan Municipality, ON",Mr. Sanjoy Tugnait-CEO,"541611-Administrative Management and General Management Consulting Services
541514-Computer Systems Design and Related Services (Except Video Game Design and Development)
518210-Data Processing, Hosting, and Related Services","Professional, Scientific & Technical Services
Information and Cultural Industries","Computer integrated systems design, Data entry & processing, Outsourcing services: IT, Business consultants",N,"1100-200 University AveToronto,ONM5H3C6"
Capillary Consulting Inc.,120286227,Capillary Consulting Inc.,,720 Bathurst St,N/A,,647-848-6490,2014,,Address,905-247-0429,,"Toronto Metropolitan Municipality, ON","Mr. Richard Batchelor-Pres
Mr. Nik Beeson -Dir-Engagement","611430-Professional and Management Development Training
541619-Other Management Consulting Services
611710-Educational Support Services
611690-All Other Schools and Instruction","Professional, Scientific & Technical Services
Educational Services","Educational support services, Training courses, Coaching, Business consultants",YExport Countries:Worldwide,"720 Bathurst StToronto,ONM5S2R4"
Capital Canada Limited,19055327,Capital Canada Limited,13,2308-150 King St W,$5-10 Million,"45,000",416-598-7700,1975,,Address,416-598-4306,www.capitalcanada.com,"Toronto Metropolitan Municipality, ON",Mr. Robert Foster-Pres/CEO,523110-Investment Banking and Securities Dealing,Finance,Investment banking firm,N,2308-150 King St WBox 58M5H1J9
Capitol Event Theatre,109630988,Capitol Event Theatre,,2492 Yonge St,N/A,,416-322-3322,,,Address,416-322-3943,thecapitoleventtheatre.com,"Toronto Metropolitan Municipality, ON",,531120-Lessors of Non-Residential Buildings (except Mini-Warehouses),Real Estate,Rental: theatres,N,"2492 Yonge StToronto,ONM4P2H7"
Capp Shupak,19052547,Capp Shupak,15,1703-2 St Clair Ave W,Under $1 Million,"5,000",416-323-3324,1987,,Address,416-323-0697,www.marilynshupak.com,"Toronto Metropolitan Municipality, ON","Ms. Debra Backstein-Lawyer
Mr. Harvey Capp-Lawyer
Ms. Carly Cohen-Lawyer
Mr. Aaron Crangle-Lawyer
Mrs. Marilyn Shupak-Lawyer
Ms. Jennifer Shupak-Goldhar-Lawyer
Ms. Darcie Sherman-Lawyer",541110-Offices of Lawyers,"Professional, Scientific & Technical Services","Legal firm: personal injury: litigation, Legal firm: motor vehicle claims",,"1703-2 St Clair Ave WToronto,ONM4V1L5"
Cappell Parker LLP Barristers,19803974,Cappell Parker LLP Barristers & Solicitors,4,2501-120 Adelaide St W,Under $1 Million,,416-367-0900,2002,,Address,416-367-0901,www.cappell.com,"Toronto Metropolitan Municipality, ON",Mr. Franklyn Cappell-Partner,541110-Offices of Lawyers,"Professional, Scientific & Technical Services","Legal firm, Legal firm: wills, Legal firm: trusts, Legal firm: taxation, Legal firm: corporate law, Legal firm: commercial law",N,"2501-120 Adelaide St WToronto,ONM5H1T1"
Cappellacci DaRoza LLP,19055640,Cappellacci DaRoza LLP,5,500-462 Wellington St W,Under $1 Million,,416-955-9500,1993,,Address,416-955-9503,www.capplaw.ca,"Toronto Metropolitan Municipality, ON","Mr. Ernest Cappellacci-Lawyer
Ms. Gina DaRoza-Lawyer",541110-Offices of Lawyers,"Professional, Scientific & Technical Services","Legal firm, Legal firm: health care",N,"500-462 Wellington St WToronto,ONM5V1E3"
CAPREIT,19376385,CAPREIT,375,401-11 Church St,Over $100 Million,,416-861-9404,1997,,Address,416-861-9209,www.caprent.com,"Toronto Metropolitan Municipality, ONStock Symbol:CAR.UNMarket:Toronto Stock Exchange","Mr. David Cohen-VP-IT/Info Sys
Mr. Thomas Schwartz-Pres/CEO
Mr. Michael Stein-Exec Chm",531111-Lessors of Residential Buildings and Dwellings (except Social Housing Projects),Real Estate,"Property management: residential, Real estate investment trusts",N,"401-11 Church StToronto,ONM5E1W1"
CAPREIT,19783887,CAPREIT,12,102-355 St Clair Ave W,$5-10 Million,,416-961-0024,1998,CAPREIT401-11 Church StTorontoONM5E1W1,Address,416-961-0380,www.caprent.com,"Toronto Metropolitan Municipality, ON","Ms. Judy Harki-Dist Mgr
Mr. Mark Kenney-VP-Ops",531111-Lessors of Residential Buildings and Dwellings (except Social Housing Projects),Real Estate,Property management: residential,N,"102-355 St Clair Ave WToronto,ONM5P1N5"
CAPREIT,19788994,CAPREIT,9,106-100 Wellesley St E,$1-5 Million,600,416-924-5100,1999,,Address,416-921-3838,www.capreit.net,"Toronto Metropolitan Municipality, ON",Ms. Judy Harkai-A-VP,"531111-Lessors of Residential Buildings and Dwellings (except Social Housing Projects)
531310-Real Estate Property Managers",Real Estate,"Property management: residential, Property management: commercial",N,"106-100 Wellesley St EToronto,ONM4Y1H5"
Capstone Infrastructure Corp.,114803744,Capstone Infrastructure Corporation,84,2930-155 Wellington St W,$50-75 Million,,416-649-1300,,,Address,416-649-1335,www.capstoneinfrastructure.com,"Toronto Metropolitan Municipality, ONStock Symbol:CSEMarket:Toronto Stock Exchange","Mr. Michael Bernstein-Pres/CEO
Mr. Aaron Boles-Sr VP-Commun
Mr. Michael Smerdon-Exec VP/CFO",551113-Holding Companies,Services,Holding company: public utility,N,"2930-155 Wellington St WToronto,ONM5V3H1"
Captain Printworks,19049461,Captain Printworks,10,1-730 Yonge St,$1-5 Million,,416-920-4114,1986,,Address,416-920-4160,www.captainprint.com,"Toronto Metropolitan Municipality, ON","Mr. Ahmed Imam-Desktop Pub
Mr. Shihab Imam-Pres","323120-Support Activities for Printing
561410-Document Preparation Services
323119-Other Printing","Manufacturer
Administrative and Support, Waste Management and Remediation Services","Printing: letterpress, Publishing: desktop, Bookbinding & related work",N,"1-730 Yonge StToronto,ONM4Y2B7"
Captivate,30831582,Captivate,7,1705-55 University Ave,Under $1 Million,,416-595-4222,1997,,Address,416-861-1938,www.captivate.ca,"Toronto Metropolitan Municipality, ON",Ms. Barb Huggett-VP-Cda,541810-Advertising Agencies,"Professional, Scientific & Technical Services",Advertising agency,N,"1705-55 University AveToronto,ONM5J2H7Parent Company:Captivate Network300-2 Executive DrChelmsfordMA10824United States"
Car Park Management Services,19803594,Car Park Management Services Ltd.,16,40 Isabella St,Under $1 Million,,416-920-3382,1965,,Address,416-920-0367,www.carpark.ca,"Toronto Metropolitan Municipality, ON","Mr. Gerrard MacLean-Pres
Mr. Paul MacLean-Gen Mgr
Mrs. Catherine Zwarych-VP",812930-Parking Lots and Garages,Services,"Parking services: indoor, Parking services: outdoor",N,"40 Isabella StToronto,ONM4Y1N1"
Caramanna Friedberg LLP,118679201,Caramanna Friedberg LLP,13,405-700 Bay St,Under $1 Million,,416-924-5969,,,Address,416-924-9973,www.cflaw.ca,"Toronto Metropolitan Municipality, ON",Mr. Graham Robinson-Head-Mktg,541110-Offices of Lawyers,"Professional, Scientific & Technical Services",Legal firm: criminal law,N,"405-700 Bay StToronto,ONM5G1Z6"
Carat Canada - Toronto,25749394,Carat Canada - Toronto,100,116 Spadina Ave,$5-10 Million,,416-504-3965,,Centsuaegis.com250-400 boul de Maisonneuve OMontréalQCH3A1L4Canada,Address,,www.carat.com,"Toronto Metropolitan Municipality, ON",Ms. Amy Kang-Office Admin,"541830-Media Buying Agencies
541810-Advertising Agencies","Professional, Scientific & Technical Services","Advertising agency, Media buying agency",N,"116 Spadina AveFloor 6Toronto,ONM5V2K6"
Caravel Law,95602944,Caravel Law,8,5109 -240 Richmond Street W,$1-5 Million,,416-348-0313,2005,,Address,416-479-0244,caravellaw.com,"Toronto Metropolitan Municipality, ON",Mr. Joe Milstone-Partner,541110-Offices of Lawyers,"Professional, Scientific & Technical Services","Legal firm: commercial law, Legal firm: corporate law",N,"5109 -240 Richmond Street WToronto,ONM5V1V6"
CarbonFree Technology Inc.,67746118,CarbonFree Technology Inc.,14,900-1 St Clair Ave W,$1-5 Million,"3,000",416-975-8800,2006,,Address,416-975-8900,www.carbonfree.com,"Toronto Metropolitan Municipality, ON","Mr. Laurence Goldberg-COO
Mr. David Oxtoby-CEO
Mr. Daniel Soper-CFO","522299-All Other Non-Depository Credit Intermediation
541620-Environmental Consulting Services","Finance
Professional, Scientific & Technical Services","Solar energy farm developer, Financial services: corporate, Environmentally-friendly project development",N,"900-1 St Clair Ave WToronto,ONM4V1K6"
Cardell Construction Inc.,30784575,Cardell Construction Inc.,6,2-2009 Lawrence Ave W,$1-5 Million,"2,500",416-247-7726,1972,,Address,416-247-6577,,"Toronto Metropolitan Municipality, ON",Mr. Tony Altobelli-CFO/Pres,"236110-Residential Building Construction
236210-Industrial Building and Structure Construction
236220-Commercial and Institutional Building Construction",Construction,General contractors,N,"2-2009 Lawrence Ave WToronto,ONM9N3V2"
Carecor Health Services Ltd.,19053842,Carecor Health Services Ltd.,400,600-415 Yonge St,$75-100 Million,"4,500",416-593-5997,1982,,Address,416-593-6362,www.carecor.com,"Toronto Metropolitan Municipality, ON","Mr. Robert Yeo-Pres
Mr. Ron Beck-Director Recruitment",561310-Employment Placement Agencies and Executive Search Services,"Administrative and Support, Waste Management and Remediation Services",Personnel recruiting service,,"600-415 Yonge StToronto,ONM5B2E7"
Career Edge Organization,30784658,Career Edge Organization,20,500-2323 Yonge St,$1-5 Million,,416-977-3343,1996,,Address,416-977-4090,www.careeredge.ca,"Toronto Metropolitan Municipality, ON",Mrs. Anne MacPhee-COO,813990-Other Membership Organizations,Services,Association: non-profit,N,500-2323 Yonge StM4P2C9
Career Path Personnel,18784141,Career Path Personnel,11,380-20 Eglinton Ave E,$1-5 Million,800,416-366-6000,1991,,Address,416-366-6165,www.careerpath-canada.com,"Toronto Metropolitan Municipality, ON","Ms. Linda Alderson-Office Mgr
Mr. Brian Brown-Pres",561310-Employment Placement Agencies and Executive Search Services,"Administrative and Support, Waste Management and Remediation Services","Employment agency, Executive search services",N,"380-20 Eglinton Ave EToronto,ONM4P1A9"
CareerBuilder.ca,114407344,CareerBuilder.ca,32,704-120 Adelaide St W,$1-5 Million,"2,000",647-288-8968,2004,,Address,,www.careerbuilder.ca,"Toronto Metropolitan Municipality, ON",,561310-Employment Placement Agencies and Executive Search Services,"Administrative and Support, Waste Management and Remediation Services",Personnel recruiting service: on-line,N,"704-120 Adelaide St WToronto,ONM5H1T1"
Carey Pearson Designs,121294881,Carey Pearson Designs,,116.5 Sherbourne St,N/A,,416-651-1961,,,Address,416-651-1961,www.careypearson.ca,"Toronto Metropolitan Municipality, ON",Ms. Carey Pearson-Owner/Designer,339910-Jewellery and Silverware Manufacturing,Manufacturer,Jewellery: custom,N,"116 .5 Sherbourne StToronto,ONM5A2R2"
Cargonet Inc.,54064169,Cargonet Inc.,3,371 Decimal Pl,Under $1 Million,,416-283-3056,1996,,Address,416-283-8903,www.cargonet.ca,"Toronto Metropolitan Municipality, ON",Mr. Steve Ellis-Owner,488519-Other Freight Transportation Arrangement,Transportation and Warehousing,Freight forwarding: international,N,"371 Decimal PlToronto,ONM1C2W1"
Caribbean Queen Of The Patties,92438152,Caribbean Queen Of The Patties,1,1294 Bloor St W,Under $1 Million,,416-538-1732,,,Address,416-538-1732,,"Toronto Metropolitan Municipality, ON",Ms. Georgina Hamilton-Owner,311814-Commercial Bakeries and Frozen Bakery Product Manufacturing,Manufacturer,Meat patties,N,"1294 Bloor St WToronto,ONM6H1N9"
Cariporter Inc.,120286241,Cariporter Inc.,1PO Box 73021 RPO Wood Street,,N/A,"2,000",647-852-4300,,,Address,,www.cariporter.ca,"Toronto Metropolitan Municipality, ON",Mr. Leroy Brown-Consultant,"413190-Other Specialty-Line Food Merchant Wholesalers
411130-Nursery Stock and Plant Merchant Wholesalers",Distributor,"Food products: organic, Seedlings: organic, Seeds: organic",N,"465 Yonge StToronto,ONM4Y2W5"
Carleton Village Jr/Sr Sports,33417397,Carleton Village Junior & Senior Sports and Wellness Academy,,315 Osler St,N/A,,416-393-1600,,,Address,416-393-1603,,"Toronto Metropolitan Municipality, ON","Ms. Lorelei Eccleston-Schl Prin
Ms. Donelda Schwartzentruber-V-Prin
Ms. Adriana Pereira-Azzoli-Office Admin",611110-Elementary and Secondary Schools,Educational Services,School: elementary,,"315 Osler StToronto,ONM6N2Z4"
Carlos House of Spice,19563750,Carlos House of Spice,3,190 Augusta Ave,$1-5 Million,800,416-593-9724,1972,,Address,,pereirabrittany.wix.com-carloshouseofspice,"Toronto Metropolitan Municipality, ON",Mr. Carlos Pereira-Owner,"411120-Oilseed and Grain Merchant Wholesalers
413190-Other Specialty-Line Food Merchant Wholesalers",Wholesaler,"Coffee, Spices, Nuts: edible, Grain",N,"190 Augusta AveToronto,ONM5T2L6"
Carlson Wagonlit Travel,19039959,Carlson Wagonlit Travel,18,288 Lawrence Ave W,$1-5 Million,,416-789-1011,,Carlson Wagonlit Travel600-2425 Matheson Blvd EMississaugaONL4W5K4,Address,416-789-2170,,"Toronto Metropolitan Municipality, ON","Mr. Gene Branchflower-Owner
Ms. Lea Ramnarace-Consultant",561510-Travel Agencies,"Administrative and Support, Waste Management and Remediation Services",Travel agency,N,"288 Lawrence Ave WToronto,ONM5M1B3"
Carlson Wagonlit Travel,19039694,Carlson Wagonlit Travel,6,147 Liberty St,$1-5 Million,,416-595-9960,1986,Carlson Wagonlit Travel600-2425 Matheson Blvd EMississaugaONL4W5K4,Address,416-595-7343,www.cwttours.com,"Toronto Metropolitan Municipality, ON",Mr. Michael Yiptong-Dir,561510-Travel Agencies,"Administrative and Support, Waste Management and Remediation Services",Travel agency,N,"147 Liberty StToronto,ONM6K3G3"
Carlson Wagonlit Travel,37171650,Carlson Wagonlit Travel,5,1248 Yonge St,Under $1 Million,,416-929-1980,1908,Carlson Wagonlit Travel600-2425 Matheson Blvd EMississaugaONL4W5K4,Address,416-929-9695,www.cwtvacationclub.ca/vipsummerhill,"Toronto Metropolitan Municipality, ON",Ms. Dawn Barbieri-Br Mgr,561510-Travel Agencies,"Administrative and Support, Waste Management and Remediation Services",Travel agency,,"1248 Yonge StToronto,ONM4T1W5"
Carlson Wagonlit/Clarke-Way,19039628,Carlson Wagonlit - Clarke-Way Travel Ltd.,9,36 Toronto St,$1-5 Million,,416-364-0903,1971,,Address,416-363-7479,www.carlsonwagonlit.ca,"Toronto Metropolitan Municipality, ON",Mrs. Stephanie Branchflower-Pres,561510-Travel Agencies,"Administrative and Support, Waste Management and Remediation Services",Travel agency,N,36 Toronto StM5C2C5
Carlton Printers,18548042,Carlton Printers,2,27 Carlton St,Under $1 Million,"3,000",416-977-5031,1977,,Address,416-977-3067,www.carltonprinters.com,"Toronto Metropolitan Municipality, ON",Mr. Ehsan Farid-Owner,"323113-Commercial Screen Printing
323114-Quick Printing
323119-Other Printing
561430-Business Service Centres
323115-Digital Printing","Manufacturer
Administrative and Support, Waste Management and Remediation Services","Printing: commercial, Photocopying, Printing: quick, Promotional products, Printing: posters, Screen printing: t-shirts",N,"27 Carlton StGround FloorToronto,ONM5B1L2"
Carma Industries Inc.,30475786,Carma Industries Inc.,12,2109-1 Dundas St W,N/A,,705-878-0711,,Carma Industries Inc.132 Walsh RdLindsayONK9V4R3,Address,416-205-9907,www.carmaindustries.com,"Toronto Metropolitan Municipality, ON",Ms. Shannon Wiilims-Vice President,"334512-Measuring, Medical and Controlling Devices Manufacturing",Manufacturer,"Controls: electric, Test equipment: electrical, Submetering systems",,"2109-1 Dundas St WBox 25Toronto,ONM5G1Z3"
